Acaricides
Algicides
Avicides / Bird Repellents
Bactericides
Fungicides
Herbicide Safeners
Herbicides
Insect Attractants (Semiochemicals)
Insect Chemosterilants
Insect Repellents
Insecticides
Mammal Repellents
Miscellaneous Substances
Molluscicides
Nematicides
Nitrification Inhibitors
Plant Activators
Plant Growth Regulators
Rodenticides
Synergists
Virucides
