name	url
antu	http://www.bcpcpesticidecompendium.org/antu.html
apholate	http://www.bcpcpesticidecompendium.org/apholate.html
aramite	http://www.bcpcpesticidecompendium.org/aramite.html
arprocarb	http://www.bcpcpesticidecompendium.org/propoxur.html
arsenous oxide	http://www.bcpcpesticidecompendium.org/arsenous%20oxide.html
asomate	http://www.bcpcpesticidecompendium.org/asomate.html
asulam	http://www.bcpcpesticidecompendium.org/asulam.html
athidathion	http://www.bcpcpesticidecompendium.org/athidathion.html
atraton	http://www.bcpcpesticidecompendium.org/atraton.html
atrazine	http://www.bcpcpesticidecompendium.org/atrazine.html
aureofungin	http://www.bcpcpesticidecompendium.org/aureofungin.html
avermectin B1	http://www.bcpcpesticidecompendium.org/abamectin.html
AVG	http://www.bcpcpesticidecompendium.org/aviglycine.html
aviglycine	http://www.bcpcpesticidecompendium.org/aviglycine.html
azaconazole	http://www.bcpcpesticidecompendium.org/azaconazole.html
azadirachtin	http://www.bcpcpesticidecompendium.org/azadirachtin.html
azafenidin	http://www.bcpcpesticidecompendium.org/azafenidin.html
azamethiphos	http://www.bcpcpesticidecompendium.org/azamethiphos.html
azidithion	http://www.bcpcpesticidecompendium.org/menazon.html
azimsulfuron	http://www.bcpcpesticidecompendium.org/azimsulfuron.html
azinphos-ethyl	http://www.bcpcpesticidecompendium.org/azinphos-ethyl.html
azinphosethyl	http://www.bcpcpesticidecompendium.org/azinphos-ethyl.html
azinphos-methyl	http://www.bcpcpesticidecompendium.org/azinphos-methyl.html
azinphosmethyl	http://www.bcpcpesticidecompendium.org/azinphos-methyl.html
aziprotryn	http://www.bcpcpesticidecompendium.org/aziprotryne.html
aziprotryne	http://www.bcpcpesticidecompendium.org/aziprotryne.html
azithiram	http://www.bcpcpesticidecompendium.org/azithiram.html
azobenzene	http://www.bcpcpesticidecompendium.org/azobenzene.html
azocyclotin	http://www.bcpcpesticidecompendium.org/azocyclotin.html
azothoate	http://www.bcpcpesticidecompendium.org/azothoate.html
azoxystrobin	http://www.bcpcpesticidecompendium.org/azoxystrobin.html
bachmedesh	http://www.bcpcpesticidecompendium.org/bachmedesh.html
barban	http://www.bcpcpesticidecompendium.org/barban.html
barbanate	http://www.bcpcpesticidecompendium.org/barban.html
barium hexafluorosilicate	http://www.bcpcpesticidecompendium.org/barium%20hexafluorosilicate.html
barium polysulfide	http://www.bcpcpesticidecompendium.org/barium%20polysulfide.html
barium silicofluoride	http://www.bcpcpesticidecompendium.org/barium%20hexafluorosilicate.html
barthrin	http://www.bcpcpesticidecompendium.org/barthrin.html
basic copper carbonate	http://www.bcpcpesticidecompendium.org/basic%20copper%20carbonate.html
basic copper chloride	http://www.bcpcpesticidecompendium.org/copper%20oxychloride.html
basic copper sulfate	http://www.bcpcpesticidecompendium.org/basic%20copper%20sulfate.html
BCPC	http://www.bcpcpesticidecompendium.org/bcpc.html
beflubutamid	http://www.bcpcpesticidecompendium.org/beflubutamid.html
beflubutamid-M	http://www.bcpcpesticidecompendium.org/beflubutamid-m.html
benalaxyl	http://www.bcpcpesticidecompendium.org/benalaxyl.html
benalaxyl-M	http://www.bcpcpesticidecompendium.org/benalaxyl-m.html
benazolin	http://www.bcpcpesticidecompendium.org/benazolin.html
bencarbazone	http://www.bcpcpesticidecompendium.org/bencarbazone.html
benclothiaz	http://www.bcpcpesticidecompendium.org/benclothiaz.html
bendaqingbingzhi	http://www.bcpcpesticidecompendium.org/derivatives/fenridazon-propyl.html
bendiocarb	http://www.bcpcpesticidecompendium.org/bendiocarb.html
bendioxide	http://www.bcpcpesticidecompendium.org/bentazone.html
benefin	http://www.bcpcpesticidecompendium.org/benfluralin.html
benfluralin	http://www.bcpcpesticidecompendium.org/benfluralin.html
benfuracarb	http://www.bcpcpesticidecompendium.org/benfuracarb.html
benfuresate	http://www.bcpcpesticidecompendium.org/benfuresate.html
benmihuangcaoan	http://www.bcpcpesticidecompendium.org/saflufenacil.html
benodanil	http://www.bcpcpesticidecompendium.org/benodanil.html
benomyl	http://www.bcpcpesticidecompendium.org/benomyl.html
benoxacor	http://www.bcpcpesticidecompendium.org/benoxacor.html
benoxafos	http://www.bcpcpesticidecompendium.org/benoxafos.html
benquinox	http://www.bcpcpesticidecompendium.org/benquinox.html
benquitrione	http://www.bcpcpesticidecompendium.org/benquitrione.html
bensulfuron	http://www.bcpcpesticidecompendium.org/bensulfuron.html
bensulide	http://www.bcpcpesticidecompendium.org/bensulide.html
bensultap	http://www.bcpcpesticidecompendium.org/bensultap.html
bentaluron	http://www.bcpcpesticidecompendium.org/bentaluron.html
bentazon	http://www.bcpcpesticidecompendium.org/bentazone.html
bentazone	http://www.bcpcpesticidecompendium.org/bentazone.html
